ano;chuva_durante_floração_mm;chuva_durante_colheita_mm;chuva_total_anual_mm;anomalia_chuva_floração_mm;temperatura_média_floração_C;umidade_relativa_média_floração_%;evento_ENSO;produtividade_kg_por_ha;produtividade_safra
1984;423,20;516,70;2459,80;93,40;26,16;84,25;Neutro;110;media
1985;363,00;540,00;2773,60;33,20;25,78;84,09;Neutro;107;media 
1986;320,60;666,90;2694,50;-9,20;25,46;84,24;El Niño;109;media 
1987;360,00;180,40;2165,20;30,20;26,91;86,56;El Niño;74;baixa 
1988;419,40;693,80;2932,80;89,60;27,80;85,59;La Niña;102;media 
1989;480,90;454,10;2416,70;151,10;26,78;86,53;Neutro;51;baixa 
1990;657,50;399,60;2732,20;327,70;26,67;86,80;Neutro;52;baixa 
1991;454,50;125,30;2332,20;124,70;26,05;86,10;El Niño;120;media 
1992;557,50;39,70;1889,40;227,70;27,21;83,73;Neutro;124;alta 
1993;380,30;401,20;2250,90;50,50;26,85;86,84;Neutro;50;baixa 
1994;382,30;549,80;2592,30;52,50;24,83;86,25;El Niño;50;baixa 
1995;200,40;613,10;2184,70;-129,40;27,55;85,40;La Niña;50;baixa 
1996;260,60;490,60;2728,60;-69,20;26,92;87,87;Neutro;95;media 
1997;132,60;487,90;1952,50;-197,20;27,88;78,49;El Niño;95;media 
1998;276,70;363,80;2309,70;-53,10;27,81;82,51;La Niña;100;media 
1999;221,80;582,80;2987,70;-108,00;27,08;83,65;La Niña;399;alta 
2000;267,10;355,70;2638,80;-62,70;24,99;85,10;La Niña;250;alta 
2001;441,30;240,80;2244,80;111,50;26,43;85,28;Neutro;101;media 
2002;304,10;506,20;2378,30;-25,70;27,30;83,21;El Niño;150;alta 
2003;288,80;229,10;2130,80;-41,00;27,48;82,96;Neutro;151;alta 
2004;282,60;363,20;2472,30;-47,20;27,23;82,69;El Niño;150;alta 
2005;201,60;405,90;1933,40;-128,20;27,37;85,14;Neutro;250;alta 
2006;191,60;258,40;2343,80;-138,20;27,05;85,30;Neutro;208;alta 
2007;363,20;413,10;2466,60;33,40;27,53;80,09;La Niña;208;alta 
2008;430,00;737,10;3073,90;100,20;27,36;80,58;Neutro;63;baixa 
2009;315,50;458,20;2644,60;-14,30;28,00;78,91;El Niño;196;alta 
2010;314,40;490,80;1940,60;-15,40;28,16;76,95;La Niña;249;alta 
2011;371,90;579,40;3432,90;42,10;28,19;76,11;La Niña;250;alta 
2012;391,90;637,50;2825,30;62,10;27,75;77,90;Neutro;160;alta 
2013;376,00;495,30;2714,00;46,20;27,75;79,45;Neutro;125;alta 
2014;428,90;744,60;3020,90;99,10;28,07;78,82;Neutro;142;alta 
2015;332,70;252,30;2239,90;2,90;28,55;82,82;El Niño;122;alta 
2016;308,70;726,40;2988,50;-21,10;28,45;77,09;La Niña;122;alta 
2017;361,80;564,20;2831,50;32,00;28,55;74,68;Neutro;140;alta 
2018;427,70;449,40;2456,50;97,90;27,70;77,44;Neutro;100;media 
2019;283,00;756,90;2965,20;-46,80;28,19;76,03;Neutro;157;alta 
2020;330,10;549,90;2212,30;0,30;28,63;79,21;La Niña;160;alta 
2021;390,40;663,00;3033,30;60,60;27,72;78,46;La Niña;130;alta 
2022;482,80;488,10;2970,30;153,00;27,82;76,90;La Niña;130;alta 
2023;227,00;215,80;1950,60;-102,80;28,51;80,69;El Niño;90;media
